name,type,website,instagram,linkedin,email,phone,city,why_mose,status,notes
VOID,agency,https://void.ma,,, ,,Casablanca,UX design + Drupal; could white-label an RTL commerce foundation,new,Source: TechBehemoths
Hello World Agency,agency,https://www.helloworld-agency.com,https://www.instagram.com/helloworldagency (verify),,, ,Marrakech & Casablanca,"Builds e-commerce in Marrakech/Casablanca; sells packages 40k Dhs+; platform = head start for clients",new,WA: 212664606612 / 212675472001
The Moroccan Agency,agency,https://www.themoroccanagency.com,,,,,Casablanca,Web dev + e-commerce + digital marketing,new,
Amine.ma,agency/freelancer,https://amine.ma,,,,,Casablanca,Builds WooCommerce/Shopify stores for Moroccan clothing brands + CMI,new,High fit (clothing focus)
Seamedia,agency,https://www.seamediainc.com,,,,,Marrakech,Shopify SEO/marketing for e-commerce owners,new,
Manzana,agency,https://manzana.ma,,,,,Casablanca & Marrakesh,Global communication agency with digital services,new,
OCaftan (Bensouda Couture),boutique,https://ocaftan.com,https://www.instagram.com/bensoudacouture/,,,212668442910,Casablanca,"Established caftan/jellaba brand on Shopify; possible second channel / franchise rollout",new,Also Facebook: bensoudacouture.ma
Bouchra Filali Lahlou,boutique,https://bouchrafilalilahlou.com,https://www.instagram.com/bouchra_filali_lahlou/,,,212627376882,Morocco,Designer selling djellabas/kaftans; WhatsApp-driven; scales via COD platform,new,
Boksha,boutique,https://www.boksha.com,,,,,Morocco,Online caftan/jellaba retailer,new,
Boutique Hanine,boutique,(TikTok: boutiquehanine2),, ,,0542708039 / 0557516728,Morocco,Sells jellabas/kaftans via TikTok + phone only — needs a storefront,new,
Famer Caftan Boutique,boutique/entrepreneur,https://mahally.com/stores/1541316065,,,,,KSA (diaspora),Moroccan caftan boutique online-only; diaspora buyer for MENA platform,new,
